Device number: 1510507,,,,,,,,,,,,,,,,,,,,,,,
Name,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22,#23
Measuring mode,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance
Correction,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset
Date,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025
Time,12:07:48 PM,12:08:07 PM,12:08:26 PM,12:08:45 PM,12:08:59 PM,12:09:06 PM,12:09:14 PM,12:09:21 PM,12:09:27 PM,12:09:33 PM,12:09:40 PM,12:09:46 PM,12:09:52 PM,12:09:58 PM,12:10:05 PM,12:10:10 PM,12:10:16 PM,12:10:21 PM,12:10:27 PM,12:10:33 PM,12:10:39 PM,12:10:44 PM,12:10:50 PM
Sync. frequency [Hz],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T_int [ms],6 * 1000.000,6 * 1000.000,6 * 1000.000,4 * 1000.000,1 * 959.980,1 * 820.550,1 * 635.020,1 * 537.160,2 * 458.490,2 * 417.590,2 * 372.630,2 * 332.320,3 * 291.690,3 * 276.590,3 * 249.110,3 * 232.060,3 * 215.760,3 * 202.930,4 * 189.550,4 * 184.910,4 * 178.270,4 * 165.930,4 * 163.720
Averages,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,
Lv [cd/sqm] (CIE1931 2°),9.22E-05,2.29E-04,3.38E-03,2.10E+00,5.49E+00,7.13E+00,8.86E+00,1.06E+01,1.23E+01,1.42E+01,1.60E+01,1.77E+01,1.94E+01,2.12E+01,2.30E+01,2.48E+01,2.65E+01,2.82E+01,3.01E+01,3.18E+01,3.35E+01,3.50E+01,3.49E+01
Le [W/(sr*sqm)] (380-780nm),3.77E-05,4.52E-05,5.77E-05,9.77E-03,2.55E-02,3.30E-02,4.10E-02,4.92E-02,5.69E-02,6.55E-02,7.38E-02,8.17E-02,8.96E-02,9.81E-02,1.06E-01,1.15E-01,1.22E-01,1.30E-01,1.39E-01,1.47E-01,1.55E-01,1.62E-01,1.61E-01
