x,0.3971,0.3379,0.1154,0.1414,0.1423,0.1422,0.1415,0.1414,0.1414,0.1412,0.1412,0.1411,0.1411,0.141,0.1411,0.1411,0.1409,0.1409,0.1409,0.1408,0.1408,0.1408,0.1406
y,0.336,0.5556,0.3415,0.041,0.0391,0.0404,0.0399,0.0403,0.0409,0.0407,0.0408,0.0409,0.0412,0.0409,0.0411,0.0413,0.0411,0.0411,0.0413,0.0412,0.0411,0.0413,0.0415
,,,,,,,,,,,,,,,,,,,,,,,
ipRGC-Influenced Responses to Light,,,,,,,,,,,,,,,,,,,,,,,
380,0.00E+00,0.00E+00,0.00E+00,3.16E-08,2.16E-07,0.00E+00,3.59E-07,0.00E+00,0.00E+00,0.00E+00,1.16E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.57E-07,0.00E+00,2.04E-07
381,0.00E+00,0.00E+00,0.00E+00,1.36E-08,2.37E-07,6.75E-08,2.17E-07,0.00E+00,0.00E+00,0.00E+00,5.02E-08,0.00E+00,1.91E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.11E-07,0.00E+00,0.00E+00
382,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.02E-08,4.78E-09,1.06E-07,0.00E+00,0.00E+00,0.00E+00,5.62E-07,0.00E+00,1.35E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.24E-06,0.00E+00,0.00E+00
383,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.16E-08,1.42E-08,0.00E+00,2.61E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.32E-07,0.00E+00,0.00E+00,0.00E+00,6.06E-08
384,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.42E-06,1.66E-07,0.00E+00,9.34E-08,1.10E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.25E-06,0.00E+00,0.00E+00,0.00E+00,8.50E-07
385,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.93E-08,4.05E-06,1.43E-07,2.37E-07,2.09E-07,3.21E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.47E-06,0.00E+00,0.00E+00,0.00E+00,8.16E-07
386,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.63E-08,3.56E-06,2.68E-07,1.32E-07,1.36E-07,6.53E-06,1.25E-07,0.00E+00,0.00E+00,0.00E+00,1.83E-07,0.00E+00,0.00E+00,0.00E+00,3.45E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00
387,0.00E+00,0.00E+00,4.31E-08,0.00E+00,0.00E+00,2.23E-06,4.02E-08,0.00E+00,1.43E-08,5.57E-06,1.88E-08,0.00E+00,0.00E+00,0.00E+00,2.74E-08,0.00E+00,0.00E+00,0.00E+00,3.64E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00
388,0.00E+00,0.00E+00,1.29E-07,0.00E+00,4.90E-08,3.25E-06,0.00E+00,0.00E+00,2.53E-07,3.27E-06,1.59E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
389,0.00E+00,0.00E+00,2.54E-08,0.00E+00,0.00E+00,0.00E+00,7.52E-08,0.00E+00,2.01E-07,4.20E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.31E-08,1.58E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
390,0.00E+00,0.00E+00,3.02E-07,2.11E-08,7.23E-08,3.40E-08,1.43E-07,0.00E+00,2.05E-07,8.01E-08,7.79E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.40E-07,3.02E-07,0.00E+00,1.51E-07,0.00E+00,0.00E+00,0.00E+00,3.55E-07
391,0.00E+00,0.00E+00,2.44E-07,1.54E-08,5.28E-08,7.23E-08,5.81E-08,0.00E+00,0.00E+00,2.92E-07,5.69E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.10E-07,0.00E+00,0.00E+00,0.00E+00,2.60E-07
