Device number: 1510507,,,,,,,,,,,,,,,,,,,,,,,
Name,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22,#23
Measuring mode,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance
Correction,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset
Date,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025
Time,11:55:43 AM,11:56:00 AM,11:56:19 AM,11:56:35 AM,11:56:53 AM,11:57:05 AM,11:57:12 AM,11:57:19 AM,11:57:25 AM,11:57:31 AM,11:57:37 AM,11:57:44 AM,11:57:51 AM,11:57:58 AM,11:58:04 AM,11:58:11 AM,11:58:16 AM,11:58:22 AM,11:58:28 AM,11:58:34 AM,11:58:40 AM,11:58:46 AM,11:58:52 AM
Sync. frequency [Hz],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T_int [ms],5 * 1000.000,5 * 1000.000,5 * 1000.000,5 * 1000.000,3 * 1000.000,1 * 1000.000,1 * 977.150,1 * 771.600,1 * 657.090,1 * 580.290,2 * 493.970,2 * 476.260,2 * 448.450,2 * 405.870,2 * 375.190,2 * 343.230,2 * 321.450,2 * 305.660,3 * 281.340,3 * 272.900,3 * 261.710,3 * 249.110,3 * 249.490
Averages,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,
Lv [cd/sqm] (CIE1931 2°),4.10E-04,2.50E-04,6.63E-03,5.49E-01,2.71E+00,3.57E+00,4.50E+00,5.30E+00,6.26E+00,7.13E+00,7.97E+00,8.84E+00,9.75E+00,1.06E+01,1.16E+01,1.25E+01,1.34E+01,1.43E+01,1.52E+01,1.60E+01,1.69E+01,1.76E+01,1.75E+01
Le [W/(sr*sqm)] (380-780nm),4.54E-05,3.88E-05,7.37E-05,4.44E-03,2.32E-02,3.00E-02,3.71E-02,4.36E-02,5.11E-02,5.79E-02,6.46E-02,7.16E-02,7.86E-02,8.56E-02,9.29E-02,9.98E-02,1.07E-01,1.14E-01,1.21E-01,1.28E-01,1.35E-01,1.41E-01,1.39E-01
