Device number: 1510507,,,,,,,,,,,,,,,,,,,,,,,
Name,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22,#23
Measuring mode,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance
Correction,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset
Date,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025
Time,11:51:48 AM,11:52:05 AM,11:52:23 AM,11:52:39 AM,11:52:56 AM,11:53:03 AM,11:53:09 AM,11:53:15 AM,11:53:20 AM,11:53:27 AM,11:53:33 AM,11:53:39 AM,11:53:45 AM,11:53:50 AM,11:53:56 AM,11:54:02 AM,11:54:08 AM,11:54:14 AM,11:54:20 AM,11:54:25 AM,11:54:31 AM,11:54:37 AM,11:54:43 AM
Sync. frequency [Hz],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T_int [ms],5 * 1000.000,5 * 1000.000,5 * 1000.000,5 * 1000.000,1 * 1000.000,1 * 862.290,1 * 707.200,1 * 576.880,2 * 492.490,2 * 418.660,2 * 381.310,2 * 354.110,2 * 330.980,3 * 295.370,3 * 272.300,3 * 250.890,3 * 234.610,3 * 215.570,3 * 206.950,4 * 199.880,4 * 186.030,4 * 176.920,4 * 176.160
Averages,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,
Lv [cd/sqm] (CIE1931 2°),5.43E-04,1.10E-03,9.48E-06,2.54E-01,9.84E-01,1.34E+00,1.66E+00,2.02E+00,2.37E+00,2.69E+00,3.07E+00,3.39E+00,3.74E+00,4.12E+00,4.43E+00,4.75E+00,5.12E+00,5.48E+00,5.88E+00,6.13E+00,6.57E+00,6.87E+00,6.76E+00
Le [W/(sr*sqm)] (380-780nm),3.74E-05,3.99E-05,4.44E-05,4.88E-03,2.02E-02,2.66E-02,3.32E-02,3.98E-02,4.68E-02,5.31E-02,6.02E-02,6.66E-02,7.36E-02,8.05E-02,8.71E-02,9.37E-02,1.01E-01,1.07E-01,1.15E-01,1.21E-01,1.28E-01,1.34E-01,1.33E-01
