Device number: 1510507,,,,,,,,,,,,,,,,,,,,,,,
Name,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22,#23
Measuring mode,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance
Correction,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset
Date,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025
Time,10:41:28 AM,10:41:50 AM,10:42:11 AM,10:42:32 AM,10:42:45 AM,10:42:51 AM,10:42:56 AM,10:43:02 AM,10:43:08 AM,10:43:15 AM,10:43:21 AM,10:43:27 AM,10:43:33 AM,10:43:39 AM,10:43:45 AM,10:43:51 AM,10:43:57 AM,10:44:03 AM,10:44:09 AM,10:44:15 AM,10:44:21 AM,10:44:26 AM,10:44:31 AM
Sync. frequency [Hz],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T_int [ms],7 * 1000.000,7 * 1000.000,7 * 1000.000,3 * 1000.000,1 * 677.940,1 * 517.370,2 * 400.250,2 * 366.790,3 * 292.390,3 * 258.820,3 * 231.730,3 * 212.770,4 * 192.290,4 * 171.250,4 * 160.410,4 * 145.460,4 * 134.770,4 * 127.730,4 * 119.410,4 * 115.810,4 * 107.190,4 * 103.170,4 * 100.570
Averages,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,
Lv [cd/sqm] (CIE1931 2°),9.13E-05,2.38E-04,2.23E-04,3.77E+00,8.32E+00,1.11E+01,1.39E+01,1.68E+01,1.98E+01,2.25E+01,2.56E+01,2.84E+01,3.15E+01,3.44E+01,3.74E+01,4.02E+01,4.32E+01,4.63E+01,4.90E+01,5.19E+01,5.48E+01,5.74E+01,5.78E+01
Le [W/(sr*sqm)] (380-780nm),3.66E-05,4.42E-05,3.83E-05,1.74E-02,3.83E-02,5.11E-02,6.39E-02,7.68E-02,9.09E-02,1.03E-01,1.17E-01,1.30E-01,1.44E-01,1.57E-01,1.71E-01,1.84E-01,1.98E-01,2.12E-01,2.24E-01,2.38E-01,2.51E-01,2.63E-01,2.64E-01
