Device number: 1510507,,,,,,,,,,,,,,,,,,,,,,,
Name,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22,#23
Measuring mode,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance
Correction,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset
Date,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025
Time,10:37:38 AM,10:37:59 AM,10:38:20 AM,10:38:41 AM,10:38:59 AM,10:39:05 AM,10:39:11 AM,10:39:17 AM,10:39:22 AM,10:39:29 AM,10:39:34 AM,10:39:40 AM,10:39:46 AM,10:39:51 AM,10:39:57 AM,10:40:03 AM,10:40:08 AM,10:40:14 AM,10:40:19 AM,10:40:25 AM,10:40:31 AM,10:40:37 AM,10:40:43 AM
Sync. frequency [Hz],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T_int [ms],7 * 1000.000,7 * 1000.000,7 * 1000.000,5 * 1000.000,1 * 804.430,1 * 583.740,2 * 432.660,2 * 327.450,3 * 277.060,3 * 239.410,3 * 209.590,4 * 186.240,4 * 165.930,4 * 156.280,4 * 143.960,4 * 126.900,4 * 121.570,4 * 108.350,4 * 103.490,5 * 98.750,5 * 95.050,5 * 90.830,5 * 86.240
Averages,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,
Lv [cd/sqm] (CIE1931 2°),1.64E-04,2.52E-04,1.58E-03,2.82E+00,1.28E+01,1.98E+01,2.73E+01,3.45E+01,4.17E+01,4.90E+01,5.62E+01,6.31E+01,7.00E+01,7.73E+01,8.42E+01,9.10E+01,9.79E+01,1.06E+02,1.12E+02,1.18E+02,1.25E+02,1.31E+02,1.36E+02
Le [W/(sr*sqm)] (380-780nm),5.55E-05,2.92E-05,4.87E-05,5.52E-03,2.50E-02,3.86E-02,5.33E-02,6.72E-02,8.13E-02,9.57E-02,1.10E-01,1.23E-01,1.37E-01,1.51E-01,1.65E-01,1.78E-01,1.91E-01,2.07E-01,2.19E-01,2.32E-01,2.45E-01,2.56E-01,2.67E-01
