Device number: 1510507,,,,,,,,,,,,,,,,,,,,,,,
Name,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22,#23
Measuring mode,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance,Radiance
Correction,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset,Offset
Date,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025,3/5/2025
Time,10:15:46 AM,10:16:09 AM,10:16:30 AM,10:16:52 AM,10:17:14 AM,10:17:25 AM,10:17:32 AM,10:17:39 AM,10:17:45 AM,10:17:51 AM,10:17:58 AM,10:18:05 AM,10:18:12 AM,10:18:18 AM,10:18:25 AM,10:18:31 AM,10:18:38 AM,10:18:45 AM,10:18:51 AM,10:18:57 AM,10:19:04 AM,10:19:10 AM,10:19:17 AM
Sync. frequency [Hz],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T_int [ms],7 * 1000.000,7 * 1000.000,7 * 1000.000,7 * 1000.000,2 * 1000.000,1 * 981.050,1 * 744.710,1 * 616.700,1 * 508.280,2 * 446.820,2 * 397.340,2 * 369.000,2 * 319.990,3 * 287.760,3 * 273.210,3 * 247.610,3 * 227.020,3 * 213.420,3 * 203.940,4 * 189.110,4 * 181.900,4 * 167.290,4 * 164.430
Averages,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,
Lv [cd/sqm] (CIE1931 2°),2.44E-03,8.23E-05,2.06E-03,3.97E-02,1.98E-01,2.86E-01,4.00E-01,4.67E-01,5.49E-01,6.56E-01,7.60E-01,8.71E-01,9.24E-01,1.05E+00,1.11E+00,1.16E+00,1.33E+00,1.34E+00,1.50E+00,1.59E+00,1.79E+00,1.71E+00,1.74E+00
Le [W/(sr*sqm)] (380-780nm),6.70E-05,2.70E-05,3.24E-05,4.20E-03,2.20E-02,3.11E-02,4.09E-02,5.03E-02,5.96E-02,6.95E-02,7.94E-02,8.95E-02,9.85E-02,1.09E-01,1.19E-01,1.27E-01,1.37E-01,1.47E-01,1.57E-01,1.67E-01,1.77E-01,1.85E-01,1.89E-01
